,ibns_20u,vgs_m1,name,type,time,OK
0,22.19601,0.6913694,tran_LayGtKttmmTtVt_29,Lay,Sun Oct 27 13:17:27 2024,True
1,19.960520000000002,0.6839737,tran_LayGtKttmmTtVt_28,Lay,Sun Oct 27 13:17:25 2024,True
2,19.50414,0.6838267,tran_LayGtKttmmTtVt_27,Lay,Sun Oct 27 13:17:24 2024,True
3,20.64394,0.6875337,tran_LayGtKttmmTtVt_26,Lay,Sun Oct 27 13:17:23 2024,True
4,20.40507,0.682479,tran_LayGtKttmmTtVt_25,Lay,Sun Oct 27 13:17:22 2024,True
5,19.65641,0.6832326,tran_LayGtKttmmTtVt_24,Lay,Sun Oct 27 13:17:21 2024,True
6,19.64578,0.6827061,tran_LayGtKttmmTtVt_23,Lay,Sun Oct 27 13:17:19 2024,True
7,21.36372,0.68896,tran_LayGtKttmmTtVt_22,Lay,Sun Oct 27 13:17:18 2024,True
8,21.39724,0.6887171,tran_LayGtKttmmTtVt_21,Lay,Sun Oct 27 13:17:17 2024,True
9,21.69451,0.687632,tran_LayGtKttmmTtVt_20,Lay,Sun Oct 27 13:17:16 2024,True
10,21.21627,0.686831,tran_LayGtKttmmTtVt_19,Lay,Sun Oct 27 13:17:15 2024,True
11,21.13935,0.688085,tran_LayGtKttmmTtVt_18,Lay,Sun Oct 27 13:17:13 2024,True
12,19.98609,0.6855447,tran_LayGtKttmmTtVt_17,Lay,Sun Oct 27 13:17:12 2024,True
13,22.25171,0.6902351,tran_LayGtKttmmTtVt_16,Lay,Sun Oct 27 13:17:11 2024,True
14,20.317059999999998,0.6865234,tran_LayGtKttmmTtVt_15,Lay,Sun Oct 27 13:17:10 2024,True
15,19.465739999999997,0.6823666,tran_LayGtKttmmTtVt_14,Lay,Sun Oct 27 13:17:09 2024,True
16,20.88662,0.6880784,tran_LayGtKttmmTtVt_13,Lay,Sun Oct 27 13:17:07 2024,True
17,20.72888,0.6853882,tran_LayGtKttmmTtVt_12,Lay,Sun Oct 27 13:17:06 2024,True
18,21.95937,0.692026,tran_LayGtKttmmTtVt_11,Lay,Sun Oct 27 13:17:05 2024,True
19,20.978340000000003,0.684971,tran_LayGtKttmmTtVt_10,Lay,Sun Oct 27 13:17:04 2024,True
20,21.58169,0.6879934,tran_LayGtKttmmTtVt_9,Lay,Sun Oct 27 13:17:03 2024,True
21,21.08574,0.6868876,tran_LayGtKttmmTtVt_8,Lay,Sun Oct 27 13:17:01 2024,True
22,20.07027,0.6847721,tran_LayGtKttmmTtVt_7,Lay,Sun Oct 27 13:17:00 2024,True
23,19.7635,0.6825124,tran_LayGtKttmmTtVt_6,Lay,Sun Oct 27 13:16:59 2024,True
24,22.25471,0.6899782,tran_LayGtKttmmTtVt_5,Lay,Sun Oct 27 13:16:58 2024,True
25,21.8736,0.6885899,tran_LayGtKttmmTtVt_4,Lay,Sun Oct 27 13:16:57 2024,True
26,21.54945,0.6881135,tran_LayGtKttmmTtVt_3,Lay,Sun Oct 27 13:16:55 2024,True
27,19.97034,0.6839364,tran_LayGtKttmmTtVt_2,Lay,Sun Oct 27 13:16:54 2024,True
28,19.53728,0.6834401,tran_LayGtKttmmTtVt_1,Lay,Sun Oct 27 13:16:53 2024,True
29,20.01305,0.6840939,tran_LayGtKttmmTtVt,Lay,Sun Oct 27 13:16:52 2024,True
