,ibns_20u,vgs_m1,name,type,time,OK
0,20.35583,0.6875639,tran_SchGtKttmmTtVt_29,Sch,Fri Oct 25 21:14:30 2024,True
1,21.249039999999997,0.6872286,tran_SchGtKttmmTtVt_28,Sch,Fri Oct 25 21:14:29 2024,True
2,19.97991,0.6837019,tran_SchGtKttmmTtVt_27,Sch,Fri Oct 25 21:14:27 2024,True
3,21.8958,0.6881441,tran_SchGtKttmmTtVt_26,Sch,Fri Oct 25 21:14:26 2024,True
4,22.01496,0.6893009,tran_SchGtKttmmTtVt_25,Sch,Fri Oct 25 21:14:25 2024,True
5,20.90549,0.6857626,tran_SchGtKttmmTtVt_24,Sch,Fri Oct 25 21:14:24 2024,True
6,20.5073,0.6872956,tran_SchGtKttmmTtVt_23,Sch,Fri Oct 25 21:14:23 2024,True
7,20.01654,0.6835952,tran_SchGtKttmmTtVt_22,Sch,Fri Oct 25 21:14:22 2024,True
8,20.11525,0.6852708,tran_SchGtKttmmTtVt_21,Sch,Fri Oct 25 21:14:20 2024,True
9,20.070320000000002,0.6864927,tran_SchGtKttmmTtVt_20,Sch,Fri Oct 25 21:14:19 2024,True
10,20.42082,0.6852245,tran_SchGtKttmmTtVt_19,Sch,Fri Oct 25 21:14:18 2024,True
11,21.055889999999998,0.6902686,tran_SchGtKttmmTtVt_18,Sch,Fri Oct 25 21:14:17 2024,True
12,20.45912,0.6846459,tran_SchGtKttmmTtVt_17,Sch,Fri Oct 25 21:14:16 2024,True
13,20.24426,0.68559,tran_SchGtKttmmTtVt_16,Sch,Fri Oct 25 21:14:14 2024,True
14,20.35739,0.6865167,tran_SchGtKttmmTtVt_15,Sch,Fri Oct 25 21:14:13 2024,True
15,19.95643,0.6813845,tran_SchGtKttmmTtVt_14,Sch,Fri Oct 25 21:14:12 2024,True
16,20.83022,0.6877331,tran_SchGtKttmmTtVt_13,Sch,Fri Oct 25 21:14:11 2024,True
17,19.66911,0.6831929,tran_SchGtKttmmTtVt_12,Sch,Fri Oct 25 21:14:10 2024,True
18,21.44156,0.6890132,tran_SchGtKttmmTtVt_11,Sch,Fri Oct 25 21:14:09 2024,True
19,21.44446,0.6869664,tran_SchGtKttmmTtVt_10,Sch,Fri Oct 25 21:14:07 2024,True
20,21.05845,0.6865644,tran_SchGtKttmmTtVt_9,Sch,Fri Oct 25 21:14:06 2024,True
21,18.94011,0.6821311,tran_SchGtKttmmTtVt_8,Sch,Fri Oct 25 21:14:05 2024,True
22,18.62989,0.6818357,tran_SchGtKttmmTtVt_7,Sch,Fri Oct 25 21:14:04 2024,True
23,21.376260000000002,0.6886109,tran_SchGtKttmmTtVt_6,Sch,Fri Oct 25 21:14:03 2024,True
24,20.73368,0.6872332,tran_SchGtKttmmTtVt_5,Sch,Fri Oct 25 21:14:02 2024,True
25,19.296039999999998,0.684877,tran_SchGtKttmmTtVt_4,Sch,Fri Oct 25 21:14:00 2024,True
26,18.68095,0.6804904,tran_SchGtKttmmTtVt_3,Sch,Fri Oct 25 21:13:59 2024,True
27,22.1066,0.6870533,tran_SchGtKttmmTtVt_2,Sch,Fri Oct 25 21:13:58 2024,True
28,21.339740000000003,0.6861238,tran_SchGtKttmmTtVt_1,Sch,Fri Oct 25 21:13:57 2024,True
29,20.005860000000002,0.6866951,tran_SchGtKttmmTtVt,Sch,Fri Oct 25 21:13:56 2024,True
